id ! accountId ! entryName ! amount ! date ! version
   936 ! 56108 ! OPEN ! 551.51 ! 1444792133383 ! v1
   937 ! 15897 ! OPEN ! 2272.99 ! 1453435733931 ! v1
   938 ! 56108 ! deposit ! 665.29 ! 1457842133709 ! v1
   939 ! 15897 ! W/D ! -491.66 ! 1461035333071 ! v1
   940 ! 47793 ! OPEN ! 3972.24 ! 1463627333653 ! v1
   941 ! 56108 ! deposit ! 395.15 ! 1466046533164 ! v1
   942 ! 15897 ! CHECK ! -149.71 ! 1466392133317 ! v1
   943 ! 15897 ! deposit ! 83.55 ! 1469502533381 ! v1
   944 ! 56108 ! deposit ! 819.42 ! 1473736133916 ! v1
   945 ! 47793 ! CHECK ! -6.29 ! 1476414533488 ! v1
   946 ! 15897 ! deposit ! 21.83 ! 1476760133763 ! v1
   947 ! 47793 ! CHECK ! -653.92 ! 1483416533968 ! v1
   948 ! 56108 ! CHECK ! -384.77 ! 1485576533132 ! v1
   949 ! 47793 ! W/D ! -860.66 ! 1487477333313 ! v1
   950 ! 15897 ! deposit ! 265.25 ! 1490324933953 ! v1
   951 ! 56108 ! deposit ! 613.72 ! 1492484933003 ! v1
   952 ! 15897 ! CHECK ! -124.79 ! 1495508933004 ! v1
   953 ! 47793 ! CHECK ! -739.57 ! 1496459333194 ! v1
   954 ! 15897 ! W/D ! -604.60 ! 1504321733566 ! v1
   955 ! 56108 ! CHECK ! -721.28 ! 1505099333989 ! v1
   956 ! 56108 ! deposit ! 936.22 ! 1505444933510 ! v1
   957 ! 47793 ! CHECK ! -162.35 ! 1508900933389 ! v1
   958 ! 61733 ! OPEN ! 4664.82 ! 1512619732999 ! v1
   959 ! 47793 ! CHECK ! -891.69 ! 1513656533481 ! v1
   960 ! 15897 ! CHECK ! -360.35 ! 1516594133363 ! v1
   961 ! 88950 ! OPEN ! 1106.11 ! 1517026133198 ! v1
   962 ! 61733 ! deposit ! 428.56 ! 1517198933444 ! v1
   963 ! 56108 ! deposit ! 454.42 ! 1518149333839 ! v1
   964 ! 88950 ! CHECK ! -992.25 ! 1519531733421 ! v1
   965 ! 15897 ! CHECK ! -912.51 ! 1519531733470 ! v1
   966 ! 62532 ! OPEN ! 1431.50 ! 1519618133960 ! v1
   967 ! 57632 ! OPEN ! 1898.13 ! 1520654933027 ! v1
   968 ! 6817 ! OPEN ! 0.00 ! 1521083333007 ! v1
   969 ! 57632 ! CHECK ! -666.88 ! 1521428933216 ! v1
   970 ! 6817 ! deposit ! 285.46 ! 1521860933190 ! v1
   971 ! 6817 ! deposit ! 129.30 ! 1522206533745 ! v1
   972 ! 62532 ! deposit ! 450.38 ! 1522638533142 ! v1
   973 ! 15897 ! deposit ! 429.61 ! 1522984133414 ! v1
   974 ! 15897 ! deposit ! 971.96 ! 1524539333175 ! v1
   975 ! 61733 ! W/D ! -54.11 ! 1525576133586 ! v1
   976 ! 47793 ! deposit ! 761.06 ! 1525662533523 ! v1
   977 ! 57632 ! deposit ! 411.85 ! 1526440133834 ! v1
   978 ! 47793 ! deposit ! 245.74 ! 1526526533529 ! v1
   979 ! 88950 ! CHECK ! -113.86 ! 1526526533595 ! v1
   980 ! 56108 ! CHECK ! -623.95 ! 1529204933587 ! v1
   981 ! 61733 ! W/D ! -910.50 ! 1532056133742 ! v1
   982 ! 88950 ! deposit ! 667.00 ! 1532747333660 ! v1
   983 ! 6817 ! CHECK ! -146.55 ! 1533956933538 ! v1
   984 ! 57632 ! W/D ! -953.74 ! 1534993733875 ! v1
   985 ! 15897 ! W/D ! -689.01 ! 1537240133530 ! v1
   986 ! 62532 ! CHECK ! -753.11 ! 1537758533189 ! v1
   987 ! 88950 ! deposit ! 262.42 ! 1539227333649 ! v1
   988 ! 6817 ! deposit ! 709.11 ! 1539400132978 ! v1
   989 ! 62532 ! CHECK ! -42.58 ! 1540436933127 ! v1
   990 ! 47793 ! W/D ! -417.53 ! 1541128133847 ! v1
   991 ! 15897 ! deposit ! 655.14 ! 1541822933791 ! v1
   992 ! 56108 ! deposit ! 983.93 ! 1542341333174 ! v1
   993 ! 61733 ! W/D ! -974.71 ! 1542773333541 ! v1
   994 ! 88950 ! W/D ! -600.34 ! 1544587733760 ! v1
   995 ! 57632 ! CHECK ! -451.93 ! 1547179733628 ! v1
   996 ! 15897 ! deposit ! 943.76 ! 1549253333725 ! v1
   997 ! 61733 ! CHECK ! -146.89 ! 1549512533863 ! v1
   998 ! 56108 ! CHECK ! -396.27 ! 1551758933736 ! v1
   999 ! 6817 ! deposit ! 305.75 ! 1551931733282 ! v1
  1000 ! 61733 ! deposit ! 123.82 ! 1553051333102 ! v1
  1001 ! 57632 ! W/D ! -46.90 ! 1553310533368 ! v1
  1002 ! 15897 ! CHECK ! -524.99 ! 1554088133740 ! v1
  1003 ! 62532 ! deposit ! 655.23 ! 1554174533126 ! v1
  1004 ! 80326 ! OPEN ! 1004.73 ! 1554520133939 ! v1
  1005 ! 15897 ! W/D ! -237.20 ! 1555729733142 ! v1
  1006 ! 47793 ! CHECK ! -463.28 ! 1556161733642 ! v1
  1007 ! 62532 ! CHECK ! -696.47 ! 1557889733069 ! v1
  1008 ! 15897 ! deposit ! 970.72 ! 1558321733050 ! v1
  1009 ! 57632 ! CHECK ! -89.35 ! 1559531333623 ! v1
  1010 ! 88950 ! deposit ! 933.91 ! 1559531333690 ! v1
  1011 ! 15897 ! CHECK ! -543.60 ! 1559704133132 ! v1
  1012 ! 5889 ! OPEN ! 0.00 ! 1561000133587 ! v1
  1013 ! 82650 ! OPEN ! 1030.09 ! 1561086533260 ! v1
  1014 ! 6817 ! deposit ! 589.60 ! 1561259333642 ! v1
  1015 ! 56108 ! deposit ! 359.34 ! 1562555333718 ! v1
  1016 ! 57632 ! W/D ! -101.18 ! 1562987333213 ! v1
  1017 ! 61733 ! deposit ! 196.37 ! 1564110533459 ! v1
  1018 ! 88950 ! CHECK ! -367.99 ! 1564888133684 ! v1
  1019 ! 82650 ! deposit ! 159.30 ! 1565924933360 ! v1
