id ! name ! balance ! interestRate ! ownerId ! version
56276 ! unstupid macrocladous ! 180.32000000000008 ! 10.22 ! 12345 ! v1
57632 ! unerupted blacketeer ! 3077.7599999999993 ! 7.23 ! 32345 ! v1
74298 ! thiophen skelloch ! 1409.59 ! 3.39 ! 19042 ! v1
44263 ! collectible reformed ! 59.73 ! 11.94 ! 74822 ! v1
56108 ! savanna panchama ! 1693.0600000000002 ! 2.49 ! 33085 ! v1
61733 ! epirogeny woeful ! 0 ! 1.25 ! 95256 ! v1
16817 ! chromatoscopy sungha ! 3123.7699999999995 ! 11.21 ! 29186 ! v1
 5889 ! schoolmasterishly appulsively ! 397.3299999999999 ! 3.12 ! 30671 ! v1
82650 ! orthorrhaphous pleuston ! 0 ! 1.52 ! 93388 ! v1
62532 ! coracoscapular manumisable ! 0 ! 3.04 ! 37869 ! v1
